region,ra_peak,dec_peak,ra_cen,dec_cen,ra_ctd,dec_ctd,r_circ,r_max,r_cen,r_ctd,npix,background,snr
276,353.6141121148795,-36.10586977369229,353.61416874814034,-36.10582239198871,353.6141670985177,-36.10582409779501,1.3159049284959083,1.0000000257321957,0.46111946756296096,0.4610536105600915,34,351.85482659436343,5.608875057513402
277,353.6198888546584,-36.08598114862783,353.61990303955844,-36.08600143110675,353.6198782281993,-36.085988368706985,1.791246396432554,1.3416407391750786,0.5983938851922365,0.5921600327222046,63,173.8929453328836,5.825019194717461
280,353.62401362599724,-36.088203389185225,353.6240389534677,-36.08817707306125,353.6240402235042,-36.08817564114825,1.3911592676604096,0.8485281572723148,0.43701359331527645,0.43696756904180023,38,182.15421442840056,6.403065110099027
281,353.61968210415546,-36.100370032561464,353.6196091259795,-36.100318861233795,353.6196160156907,-36.10031683880724,2.409558533008141,1.7088007488912762,0.9115913997675638,0.9113420054922896,114,395.7136345497015,5.897370517912124
282,353.6253194327929,-36.077258922206354,353.6254530888574,-36.077236542438655,353.62544342731155,-36.077240766999886,1.9149229459268768,1.5620499509015258,0.6753880419590131,0.6746313558036905,72,325.55151868973616,6.902737114297602
283,353.61975107135834,-36.09437003417513,353.6197129638611,-36.09446976555082,353.61971145390146,-36.09444925919103,2.056004690782767,1.7088007130696654,0.763762035224816,0.760173225691798,83,281.53217635153055,4.605048075404937
284,353.6313691912876,-36.0845919604435,353.6314779866404,-36.084551707390496,353.63146286035493,-36.08454540652322,2.5432374814898093,2.1260291851954967,0.9674224942735518,0.9661548030569558,127,348.82027810467076,9.864183117057697
285,353.62855167532365,-36.09753657932637,353.62850244160677,-36.0973932737034,353.6285100933699,-36.09744828734865,2.1170269713604912,2.039607845980348,0.8562916373792832,0.8327763796926787,88,187.4146758411431,5.16758021140183
286,353.6233263257129,-36.1045367290648,353.62331954646663,-36.104544553825434,353.62331390343894,-36.10452665732198,1.9015783725757567,1.3999999554224476,0.6822019554467926,0.6789545055065275,71,283.36139814314635,5.399172351266796
287,353.5943820219672,-36.09231122787685,353.59433313475853,-36.09222254122954,353.59432962032895,-36.0922224589594,1.6273715780512878,1.6124515960079628,0.636245474174276,0.636163259310457,52,583.9574263592309,13.550897741359769
288,353.60785875959306,-36.0840358432489,353.6078852028724,-36.08401768405618,353.60788573798243,-36.08401665339543,1.6273715780512878,1.0000000257211932,0.517175698414314,0.5171600452599978,52,176.24389195137243,6.307267664960898
290,353.6086102313171,-36.11070259811283,353.6089165386853,-36.11081144846199,353.6088956374252,-36.11080185759477,2.482434167610128,2.8425340396334864,1.0367562086255278,1.0343964793910965,121,345.75071247090415,10.19622460881738
291,353.6125313575127,-36.099647431090524,353.61242249548013,-36.09961699874099,353.6124320265912,-36.09962186199675,2.068353178330564,1.6124515862696727,0.7174478453071784,0.7166981768675699,84,302.2017905697265,6.507501126266237
292,353.6055826376876,-36.119257765703395,353.6053688522014,-36.11927714643688,353.60538008916836,-36.119279923406445,2.9076297180076907,2.505992810312257,1.0708912491374043,1.0703458768431429,166,372.6325276357086,10.826013603439463
293,353.60888992569335,-36.0839804086161,353.608867005979,-36.084010035639004,353.60887548347534,-36.084005504876025,1.7480774889473267,1.0000000165037943,0.5583665077234169,0.5575829991964418,60,193.98677419223463,7.090427673071081
295,353.6130804988047,-36.10731414187724,353.613046744409,-36.10729292710013,353.6130555307771,-36.107298004803795,1.6736567743768012,1.0198039103616934,0.565810919401111,0.5649378594016197,55,243.5213155923284,7.616149230367567
296,353.6328130030655,-36.0859807340671,353.6327966311009,-36.08595031217932,353.632805854152,-36.08595591067907,2.068353178330564,1.2806248623452265,0.7135945813078428,0.7128050484086509,84,201.19077949210288,7.086516817366129
297,353.6167252997031,-36.103203260587144,353.6167284255468,-36.10319821021941,353.61671602161766,-36.10319882950086,1.4969641274038221,0.8485281572234306,0.5454050576056332,0.5442058793494687,44,284.16963111684487,5.858820751750893
298,353.62243242218443,-36.10637006527722,353.62248675368517,-36.106341944565465,353.62247540753845,-36.10634737072408,2.0310825007719226,1.3416408190084839,0.694075221162823,0.6930149995703925,81,266.9305382373735,4.874730472734435
299,353.6066830758214,-36.11903569309853,353.606825902302,-36.11909910206966,353.6068033377317,-36.119090976481935,2.818690255978371,2.000000013407635,0.9892182494908776,0.9866058984590291,156,265.016034980854,9.099109511789425
300,353.6190630005433,-36.106814460940164,353.61898217498856,-36.106770598950526,353.6189946477083,-36.10677156168882,1.703815178355966,1.2649110656621632,0.6290830104890532,0.6280265889018044,57,393.1177613117147,6.42260208120892
302,353.61713824513345,-36.097592168559046,353.61720834429343,-36.097660799093894,353.61720927965536,-36.09766195419425,1.6116478124142792,1.2806248022384654,0.5878303328425919,0.5878093273650361,51,494.36934032443935,7.527967973891084
303,353.62215735882955,-36.10875895368294,353.6220576991083,-36.1087066184114,353.6220590769051,-36.10871008661283,1.8746042631630413,1.6124515717410413,0.7055624423550441,0.7054405812951773,69,359.9024779938937,10.09365919390201
