region,ra_peak,dec_peak,ra_cen,dec_cen,ra_ctd,dec_ctd,r_circ,r_max,r_cen,r_ctd,npix,background,snr
304,139.48570465441756,-22.3693409366647,139.48563219966317,-22.369251074183893,139.48562724031686,-22.369258706100446,1.8609705966725114,1.897366554616924,0.698505055583218,0.6977692002576631,68,786.2337953684106,22.91712879722507
305,139.4912312842534,-22.366729213471686,139.4913060356135,-22.366720681187783,139.49128829432982,-22.366715832800953,2.9939282548076442,2.3409399907246384,1.0244097656480171,1.0225567016797668,176,559.2573971570308,20.421774787357755
306,139.46323564247467,-22.37850815986433,139.4633568642001,-22.37867516153074,139.46330405163786,-22.378617136881907,4.142857596276994,3.2249031366842686,1.4014589190733382,1.374607089188982,337,363.8530803063023,17.752683420112284
307,139.4628763658866,-22.35628592288646,139.46287684030221,-22.35632913279478,139.4628940231981,-22.3563067824283,2.533204947386851,2.529822169625861,0.9689190253192758,0.9638761296716247,126,591.4378426601418,21.328424618447315
308,139.47392917518246,-22.348508282689288,139.47388955737244,-22.34855083673647,139.47390417548155,-22.34852075537397,2.188008383942852,1.4422204715434739,0.7182574587101498,0.7083766089750438,94,442.63141768568994,14.338690757718757
309,139.48876811434664,-22.36606284292325,139.48875916145147,-22.36608078734934,139.48876322825876,-22.366065647425657,2.863505311343852,1.7204650562682788,0.9235648529802218,0.9218557768364019,161,455.6957808893492,14.850795576145082
310,139.4646787453301,-22.350008218753686,139.4646993797213,-22.34999973772675,139.46469073850483,-22.35000121813336,2.5829779740470595,2.1260291554009436,0.9210999353026994,0.9206350474269804,131,1080.0542616908601,21.45713603311721
311,139.48372046150155,-22.351785555848796,139.48356484980744,-22.351838200058378,139.4835810775746,-22.351838225023396,2.951094455619561,2.0591260263329505,1.0157510744164833,1.0143130320498923,171,866.7312679248713,22.842095599047823
312,139.48185742848543,-22.340785697617545,139.48185452183927,-22.340781665573655,139.48185145192167,-22.340781964719163,2.5130197257256874,1.5620499487323316,0.8711152631368325,0.8710546190802099,124,743.5399620672665,24.53561785911998
313,139.468703473518,-22.335952756213555,139.4685579766943,-22.33610361667081,139.4685606340188,-22.336105437075627,2.4306031118986,2.0880612908573375,0.8874708700723617,0.8874025577774577,116,1079.3390296025395,25.463459586251837
314,139.48528117078754,-22.34167431038587,139.48520455965453,-22.341763348692364,139.48521325591148,-22.34174904610371,2.818690255978371,2.163330783040317,0.9678030526903451,0.9659985108190112,156,608.5772573690073,18.95002092124346
315,139.45614762444254,-22.364341027139304,139.4561191395024,-22.36430379670072,139.45610774420803,-22.364297721252925,2.222649192646566,2.28035089013143,1.0431999234477265,1.0422804149194174,97,1153.858097155729,23.071585607424705
316,139.48510198387828,-22.351229881734554,139.48507926866276,-22.35122754952196,139.4850750403912,-22.351225950794593,2.4618326979994754,1.7204650109233128,0.8890414212132738,0.8889113167173962,119,504.577352538621,18.623246008077704
317,139.47537112985796,-22.358063800838398,139.47540344622158,-22.358163478965626,139.47539153587883,-22.358155101142724,3.7559944296638146,2.7856776973445503,1.3275595027011287,1.3266243500488866,277,576.3466014958957,16.125925809042045
